case_name,google_case_id,judge,published,case_citation
Session v. Rodriguez,11738300368123473353,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
US v. Griffin,7624433310215409771,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
VELAZCO v. COLUMBUS CITIZENS FOUNDATION,4890453942169379111,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
CHEPILKO v. CIGNA GROUP INSURANCE,15125093376244249035,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
US v. DE LUGO AZPURUA,7242259900410485563,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
US v. Cramer,17582121729695418836,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Butler v. Commissioner of Social Sec.,15726126813368462263,Katzmann,1,"780 F. 3d 162 - Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
KAHYAOGLU v. Lynch,11565343607195861523,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
"RIDE, INC. v. APS TECHNOLOGY, INC.",167880183346690206,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
"Douglas v. BUGHRARA, ALBANY MEDICAL CENTER",8454544871139251334,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Bentley v. MOBILE GAS STATION,3578306742934928191,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Chen v. Lynch,360128687676876509,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
IN THE MATTER OF ROBERT PLAN CORPORATION,14717665640460419599,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Diaz v. US,12340272517666596751,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
SORVILLO v. ST. FRANCIS PREPARATORY SCHOOL,5154472913574956794,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
US v. Gundy,15628595845717793638,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
CHANG FAN ZENG v. Lynch,3007021877284282136,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
DCA GRANTOR TRUST v. Republic of Argentina,8740569167540604170,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
"Wenzel v. MARRIOTT INTERNATIONAL, INC.",880982601657190987,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
AHMEDOU v. Lynch,12984726918891581143,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
MADANAT v. FIRST DATA CORPORATION,12464171183211573588,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
REN v. Lynch,11790299679304315410,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
US v. Hammond,9939865925261428700,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
YING CHENG v. Lynch,17116154401676613470,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
